Variety 	Length
bihai	47.12
bihai	46.75
bihai	46.81
bihai	47.12
bihai	46.67
bihai	47.43
bihai	46.44
bihai	46.64
bihai	48.07
bihai	48.34
bihai	48.15
bihai	50.26
bihai	50.12
bihai	46.34
bihai	46.94
bihai	48.36
red	41.90
red	42.01
red	41.93
red	43.09
red	41.47
red	41.69
red	39.78
red	40.57
red	39.63
red	42.18
red	40.66
red	37.87
red	39.16
red	37.40
red	38.20
red	38.07
red	38.10
red	37.97
red	38.79
red	38.23
red	38.87
red	37.78
red	38.01
yellow	36.78
yellow	37.02
yellow	36.52
yellow	36.11
yellow	36.03
yellow	35.45
yellow	38.13
yellow	37.10
yellow	35.17
yellow	36.82
yellow	36.66
yellow	35.68
yellow	36.03
yellow	34.57
yellow	34.63
yellow	NA
red	NA
red	NA
