Student	Sex	Group	SSHA
1	Women	0	156
2	Women	0	109
3	Women	0	137
4	Women	0	115
5	Women	0	152
6	Women	0	140
7	Women	0	154
8	Women	0	178
9	Women	0	111
10	Women	0	123
11	Women	0	126
12	Women	0	126
13	Women	0	137
14	Women	0	165
15	Women	0	165
16	Women	0	129
17	Women	0	200
18	Women	0	150
19	Men	1	118
20	Men	1	140
21	Men	1	114
22	Men	1	91
23	Men	1	180
24	Men	1	115
25	Men	1	126
26	Men	1	92
27	Men	1	169
28	Men	1	139
29	Men	1	121
30	Men	1	132
31	Men	1	75
32	Men	1	88
33	Men	1	113
34	Men	1	151
35	Men	1	70
36	Men	1	115
37	Men	1	187
38	Men	1	114
