Subject	GroupName	Comp
1	B	41
2	B	41
3	B	43
4	B	46
5	B	46
6	B	45
7	B	45
8	B	32
9	B	33
10	B	39
11	B	42
12	B	45
13	B	39
14	B	44
15	B	36
16	B	49
17	B	40
18	B	35
19	B	36
20	B	40
21	B	54
22	B	32
23	D	31
24	D	40
25	D	48
26	D	30
27	D	42
28	D	48
29	D	49
30	D	53
31	D	48
32	D	43
33	D	55
34	D	55
35	D	57
36	D	53
37	D	37
38	D	50
39	D	54
40	D	41
41	D	49
42	D	47
43	D	49
44	D	49
45	S	53
46	S	47
47	S	41
48	S	49
49	S	43
50	S	45
51	S	50
52	S	48
53	S	49
54	S	42
55	S	38
56	S	42
57	S	34
58	S	48
59	S	51
60	S	33
61	S	44
62	S	48
63	S	49
64	S	33
65	S	45
66	S	42
