subj	LOC	STRESS
1	17	2.59091
2	14	2.45455
3	3	2.68182
4	7	3.18182
5	6	2.54545
6	4	2.72727
7	8	2.59091
8	13	2.31818
9	8	3.45455
10	11	3.31818
11	15	2.95455
12	13	1.72727
13	6	2.27273
14	13	2.59091
15	15	3.04545
16	9	3.04545
17	17	3.5
18	10	2.81818
19	11	2.54545
20	16	2.36364
21	15	2.72727
22	13	2.86364
23	17	2.90909
24	7	2.90909
25	8	2.31818
26	9	3.45455
27	12	2.63636
28	11	2.5
29	5	2.5
30	15	2.81818
31	20	2.81818
32	13	3.04545
33	10	2.31818
34	10	3.27273
35	14	3.13636
36	15	3.31818
37	8	2.40909
38	9	2.68182
39	11	2.86364
40	11	3.09091
41	17	3.81818
42	12	2.13636
43	17	3.31818
44	5	2.90909
45	11	2.09091
46	12	2.77273
47	11	2.36364
48	12	2.36364
49	10	1.90909
50	14	2.63636
51	10	2.68182
52	11	2.45455
53	10	2.63636
54	13	2.59091
55	13	2.40909
56	7	2.63636
57	8	2.31818
58	10	2.04545
59	14	3.63636
60	9	2.18182
61	11	2.72727
62	14	2.86364
63	11	2.09091
64	12	2.09091
65	8	2.90909
66	8	2.04545
67	12	2.86364
68	9	1.86364
69	11	2.09091
70	15	2.5
71	12	2.22727
72	19	3.40909
73	15	3.54545
74	12	2.18182
75	9	1.59091
76	10	2.77273
77	12	2.86364
78	14	3.68182
79	14	3
80	12	2.68182
81	6	2.27273
82	10	2.77273
83	9	3.04545
84	17	2.13636
85	10	2.95455
86	17	3.27273
87	13	3.63636
88	22	3.04545
89	2	2.59091
90	10	2.77273
91	11	2.27273
92	9	3.68182
93	11	2.90909
94	13	2.72727
95	6	2.36364
96	13	2.68182
97	9	2.68182
98	13	2.40909
99	18	3.54545
100	6	2.04545
